date,COP_USD
9/1/1992,691.9
9/2/1992,692.89
9/3/1992,693.02
9/4/1992,695.62
9/7/1992,696.77
9/8/1992,697.69
9/9/1992,698.28
9/10/1992,695.38
9/11/1992,695.54
9/14/1992,695.54
9/15/1992,696.29
9/16/1992,696.84
9/17/1992,695.7
9/18/1992,696.66
9/21/1992,696.42
9/22/1992,699.16
9/23/1992,699.16
9/24/1992,698.4
9/25/1992,697.01
9/28/1992,704.8
9/29/1992,701
9/30/1992,702.81
10/1/1992,702.81
10/2/1992,703.08
10/5/1992,710.22
10/6/1992,704.52
10/7/1992,703.66
10/8/1992,702.71
10/9/1992,704.06
10/12/1992,704.06
10/13/1992,704.06
10/14/1992,702.48
10/15/1992,705.52
10/16/1992,708.21
10/19/1992,707.13
10/20/1992,707.35
10/21/1992,706.06
10/22/1992,709.22
10/23/1992,710.19
10/26/1992,712.04
10/27/1992,713.55
10/28/1992,713.55
10/29/1992,715.31
10/30/1992,717.37
11/2/1992,717.37
11/3/1992,717.37
11/4/1992,716.88
11/5/1992,719.21
11/6/1992,719.21
11/9/1992,722.57
11/10/1992,720.48
11/11/1992,722.37
11/12/1992,723.72
11/13/1992,722.72
11/16/1992,722.72
11/17/1992,722.72
11/18/1992,722.72
11/19/1992,724.97
11/20/1992,724.9
11/23/1992,724.98
11/24/1992,726.97
11/25/1992,720.63
11/26/1992,721.47
11/27/1992,722.61
11/30/1992,725.45
12/1/1992,729.42
12/2/1992,725.75
12/3/1992,729.74
12/4/1992,738.19
12/7/1992,736.29
12/8/1992,736.29
12/9/1992,732.11
12/10/1992,732.4
12/11/1992,727.21
12/14/1992,729.8
12/15/1992,732.69
12/16/1992,736.2
12/17/1992,734.98
12/18/1992,732.54
12/21/1992,735.31
12/22/1992,736.82
12/23/1992,735
12/24/1992,735
12/25/1992,735
12/28/1992,735
12/29/1992,735
12/30/1992,735
12/31/1992,735
1/1/1993,735
1/4/1993,737.98
1/5/1993,737.98
1/6/1993,737.98
1/7/1993,737.98
1/8/1993,737.98
1/11/1993,737.98
1/12/1993,746.63
1/13/1993,746.63
1/14/1993,748.98
1/15/1993,746.71
1/18/1993,746.71
1/19/1993,746.39
1/20/1993,748.07
1/21/1993,750.06
1/22/1993,750.06
1/25/1993,750.06
1/26/1993,748.66
1/27/1993,747.13
1/28/1993,746.21
1/29/1993,745.14
2/1/1993,745.14
2/2/1993,745.14
2/3/1993,745.14
2/4/1993,745.14
2/5/1993,745.79
2/8/1993,745.79
2/9/1993,745.45
2/10/1993,745.49
2/11/1993,745.38
2/12/1993,745.38
2/15/1993,748.22
2/16/1993,748.18
2/17/1993,748.18
2/18/1993,748.18
2/19/1993,748.18
2/22/1993,748.18
2/23/1993,752.52
2/24/1993,764.52
2/25/1993,759.2
2/26/1993,759.2
3/1/1993,759.2
3/2/1993,759.2
3/3/1993,759.2
3/4/1993,762.68
3/5/1993,762.68
3/8/1993,762.68
3/9/1993,762.68
3/10/1993,763.9
3/11/1993,763.9
3/12/1993,763.9
3/15/1993,763.9
3/16/1993,763.9
3/17/1993,763.9
3/18/1993,763.9
3/19/1993,766.12
3/22/1993,766.42
3/23/1993,766.84
3/24/1993,766.63
3/25/1993,766.91
3/26/1993,767.99
3/29/1993,767.4
3/30/1993,766.79
3/31/1993,766.79
4/1/1993,766.44
4/2/1993,767.98
4/5/1993,768.46
4/6/1993,768.31
4/7/1993,768.31
4/8/1993,768.52
4/9/1993,768.52
4/12/1993,768.6
4/13/1993,769.34
4/14/1993,769.8
4/15/1993,769.8
4/16/1993,769.8
4/19/1993,773.22
4/20/1993,773.7
4/21/1993,773.97
4/22/1993,774.34
4/23/1993,775.05
4/26/1993,775.32
4/27/1993,775.2
4/28/1993,774.52
4/29/1993,773.78
4/30/1993,774.94
5/3/1993,773.82
5/4/1993,775.53
5/5/1993,776.99
